colony_id,direction,filename,image_path,area,perimeter,ellipticity,major_axis,minor_axis,center_x,center_y,ellipse_angle,centroid_x,centroid_y,max_radius,max_radius_angle,min_radius,min_radius_angle,mean_radius,std_radius,radius_ratio
3,up,3.bmp,./image\up\3.bmp,86529.0,2339.415424466133,1.5260559061557695,417.068359375,273.2982177734375,1984.5614013671875,1490.479248046875,156.7996063232422,1983,1487,224.0089283934906,246.86857918537254,85.05292469985967,177.978635059644,165.62697577049383,31.314709316377737,2.6337592644108123
4,up,4.bmp,./image\up\4.bmp,83686.5,2837.3636898994446,1.636896456852026,438.3005065917969,267.76312255859375,2042.697509765625,1536.949951171875,74.55215454101562,2041,1540,228.12715752404404,318.5541782355321,73.16419889536138,291.6559890384225,171.3302825949637,34.077149167546835,3.118016201480029
5,up,5.bmp,./image\up\5.bmp,64329.0,2145.7341853380203,1.3021816519779348,332.4801025390625,255.325439453125,1977.9573974609375,1461.0986328125,75.9539794921875,1977,1463,191.1334612253961,346.6908213045995,104.12012293500234,286.17215901578254,143.87549701533058,18.891709678056717,1.8357014555650535
6,up,6.bmp,./image\up\6.bmp,20048.5,1917.4082844257355,2.1597079069466383,293.2560119628906,135.7850341796875,2280.057373046875,1532.4747314453125,131.12692260742188,2292,1543,181.24568960391858,204.44395478041653,28.160255680657446,186.1155035662854,84.33891411179009,32.95622582580386,6.436223152917307
7,up,7.bmp,./image\up\7.bmp,42987.0,3180.601277947426,1.4120678972521419,296.736083984375,210.14292907714844,2009.1832275390625,1506.7047119140625,81.22858428955078,2003,1504,187.3606148580859,343.8865817669107,46.61544808322666,35.39479584498706,118.42577622246048,25.06222244311785,4.0192816450798565
8,up,8.bmp,./image\up\8.bmp,115395.5,2768.7362731695175,1.1277593140423094,416.3667907714844,369.1982727050781,2192.117431640625,1356.524658203125,136.0207061767578,2191,1358,240.50363822611914,29.656233952236136,154.8709139896837,121.53479190518829,190.2087256270535,19.895410576285098,1.5529296756274045
9,up,9.bmp,./image\up\9.bmp,62140.5,1630.839742898941,1.1017649958209563,300.62640380859375,272.8589172363281,2193.677001953125,1454.7633056640625,49.73259353637695,2194,1454,173.25414857947845,158.32141086038567,113.21660655575224,273.54476645559487,140.7224644079652,12.140346409759873,1.5302891850424911
1,vertical,1.bmp,./image\vertical\1.bmp,553.5,94.18376541137695,1.1005582836228145,28.0379695892334,25.476133346557617,2120.763671875,1523.8475341796875,76.8370132446289,2120,1523,15.264337522473747,58.3924977537511,10.770329614269007,248.19859051364818,13.3496607582595,1.0234389110268378,1.4172581591422124
10,vertical,10.bmp,./image\vertical\10.bmp,40412.5,2638.9961591959,4.459555974192856,649.0243530273438,145.53564453125,2094.168212890625,1380.4107666015625,84.88236236572266,2158,1364,413.0193700058146,180.55490545371015,29.5296461204668,118.30075576600638,174.02193076748094,110.80828464194998,13.986600730699365
11,vertical,11.bmp,./image\vertical\11.bmp,5262.5,655.8305149078369,1.6172486223166451,138.57278442382812,85.68428039550781,2149.459716796875,1435.4320068359375,36.9432373046875,2151,1450,94.89467845985885,298.9959595141184,11.0,180.0,49.16744691969779,21.28200059997449,8.626788950896259
12,vertical,12.bmp,./image\vertical\12.bmp,45919.5,1268.6488375663757,4.0471508131943965,557.6863403320312,137.79727172851562,2016.633544921875,1497.815185546875,84.3274917602539,1996,1502,275.230812228573,174.57940471623766,36.124783736376884,274.76364169072616,130.35286114233514,74.84454455358015,7.618891624018816
13,vertical,13.bmp,./image\vertical\13.bmp,110284.5,1922.5453662872314,2.1098651171722453,638.4052124023438,302.5810546875,1953.261474609375,1517.403564453125,85.42710876464844,1960,1515,398.72296146572745,176.54915680624885,77.10382610480494,123.89616656336392,187.4320868961672,75.90876247906071,5.171247415449335
2,vertical,2.bmp,./image\vertical\2.bmp,6471.0,396.24978053569794,1.0813909961624888,95.19219970703125,88.02754974365234,2008.953857421875,1457.127197265625,99.1533432006836,2009,1456,54.67174773134658,50.19442890773481,35.34119409414458,64.88516511385544,45.17699335859467,3.8773818138459344,1.5469694539948986
3,vertical,3.bmp,./image\vertical\3.bmp,3093.0,250.16652047634125,1.4791747798520503,77.7060317993164,52.53336715698242,2007.009765625,1520.0087890625,1.963521957397461,2007,1519,42.1070065428546,274.0856167799749,21.02379604162864,205.34617594194668,31.573280353608254,5.717279925484968,2.0028260576481847
4,vertical,4.bmp,./image\vertical\4.bmp,7854.0,406.73506128787994,1.088344798444337,105.83699798583984,97.24583435058594,1993.49462890625,1445.626220703125,64.33039093017578,1993,1446,58.83026432033091,301.7989128242944,37.0,288.92464441605125,49.91890138495487,4.622352394831956,1.5900071437927275
5,vertical,5.bmp,./image\vertical\5.bmp,783.5,112.66904664039612,1.1643340368269213,34.409156799316406,29.552650451660156,2135.31298828125,1466.3045654296875,3.90775728225708,2135,1466,17.72004514666935,253.6104596659652,13.038404810405298,175.6012946450045,15.975316819310335,1.0297761714753133,1.3590654228290158
6,vertical,6.bmp,./image\vertical\6.bmp,902.0,122.56854140758514,1.2689412465847982,38.499488830566406,30.33985137939453,2019.9884033203125,1554.75537109375,60.922725677490234,2019,1554,21.095023109728988,354.5596679689945,12.649110640673518,251.56505117707798,16.970046765082696,1.9515526042169142,1.6677080080157918
7,vertical,7.bmp,./image\vertical\7.bmp,5635.5,901.1686081886292,1.7834611918641758,515.910888671875,289.27508544921875,1934.20556640625,1556.6915283203125,47.921512603759766,2119,1409,126.25371281669304,86.3670492605118,1.4142135623730951,315.0,64.00263736968701,33.29961392657004,89.27485648266257
8,vertical,8.bmp,./image\vertical\8.bmp,18824.0,1433.8031651973724,1.4645131141307275,194.5791015625,132.86265563964844,1337.81787109375,1503.5196533203125,87.28083801269531,1335,1503,118.12705024675762,346.7872531216648,49.03060268852505,101.76828893202065,79.05000057712095,15.3578410518227,2.409251442352832
9,vertical,9.bmp,./image\vertical\9.bmp,101795.0,2785.4053193330765,7.119393924724676,1122.0465087890625,157.60421752929688,1845.4927978515625,1130.967529296875,94.29524993896484,1749,1122,480.9365862564419,183.57633437499734,47.29693436154187,76.55138494831348,212.51738977340966,112.65712975735943,10.168451565594523
